district,year,month,month_name,total_radiation_MJ_m2,radiation_above_15MJ_m2,percentage_above_15MJ,days_in_month
Jaffna,2015,10,October,525.42,441.09,83.95,31
Jaffna,2015,11,November,428.02,312.23,72.95,30
Jaffna,2015,12,December,446.58,284.44,63.69,31
Jaffna,2016,1,January,590.72,547.45,92.68,31
Jaffna,2016,2,February,618.46,618.46,100.0,29
Jaffna,2016,3,March,742.32,742.32,100.0,31
Jaffna,2016,4,April,722.46,722.46,100.0,30
Jaffna,2016,5,May,614.97,572.69,93.12,31
Jaffna,2016,6,June,579.96,540.48,93.19,30
Jaffna,2016,7,July,636.87,598.27,93.94,31
Jaffna,2016,8,August,667.7,667.7,100.0,31
Jaffna,2016,9,September,660.99,646.47,97.8,30
Jaffna,2016,10,October,651.55,624.97,95.92,31
Jaffna,2016,11,November,499.27,400.61,80.24,30
Jaffna,2016,12,December,532.58,470.55,88.35,31
Jaffna,2017,1,January,545.01,470.35,86.3,31
Jaffna,2017,2,February,595.4,584.68,98.2,28
Jaffna,2017,3,March,699.42,686.2,98.11,31
Jaffna,2017,4,April,774.63,774.63,100.0,30
Jaffna,2017,5,May,706.46,694.3,98.28,31
Jaffna,2017,6,June,643.33,629.65,97.87,30
Jaffna,2017,7,July,657.79,632.12,96.1,31
Jaffna,2017,8,August,621.43,597.05,96.08,31
Jaffna,2017,9,September,617.31,605.1,98.02,30
Jaffna,2017,10,October,541.19,460.58,85.11,31
Jaffna,2017,11,November,430.62,266.25,61.83,30
Jaffna,2017,12,December,508.34,396.65,78.03,31
Jaffna,2018,1,January,556.98,488.82,87.76,31
Jaffna,2018,2,February,589.5,589.5,100.0,28
Jaffna,2018,3,March,696.79,683.22,98.05,31
Jaffna,2018,4,April,687.7,687.7,100.0,30
Jaffna,2018,5,May,624.65,612.42,98.04,31
Jaffna,2018,6,June,638.4,638.4,100.0,30
Jaffna,2018,7,July,659.53,645.82,97.92,31
Jaffna,2018,8,August,655.57,628.49,95.87,31
Jaffna,2018,9,September,659.95,631.14,95.63,30
Jaffna,2018,10,October,496.49,345.53,69.59,31
Jaffna,2018,11,November,450.64,330.15,73.26,30
Jaffna,2018,12,December,505.78,413.2,81.7,31
Jaffna,2019,1,January,568.48,559.24,98.37,31
Jaffna,2019,2,February,582.53,582.53,100.0,28
Jaffna,2019,3,March,756.58,756.58,100.0,31
Jaffna,2019,4,April,678.72,669.71,98.67,30
Jaffna,2019,5,May,737.45,737.45,100.0,31
Jaffna,2019,6,June,658.92,658.92,100.0,30
Jaffna,2019,7,July,643.44,622.37,96.73,31
Jaffna,2019,8,August,599.19,558.07,93.14,31
Jaffna,2019,9,September,612.88,604.86,98.69,30
Jaffna,2019,10,October,517.95,398.2,76.88,31
Jaffna,2019,11,November,533.18,482.56,90.51,30
Jaffna,2019,12,December,466.71,324.09,69.44,31
Jaffna,2020,1,January,590.8,590.8,100.0,31
Jaffna,2020,2,February,624.46,624.46,100.0,29
Jaffna,2020,3,March,734.42,734.42,100.0,31
Jaffna,2020,4,April,694.01,694.01,100.0,30
Jaffna,2020,5,May,637.86,627.06,98.31,31
Jaffna,2020,6,June,630.59,601.3,95.36,30
Jaffna,2020,7,July,597.1,547.34,91.67,31
Jaffna,2020,8,August,643.46,597.37,92.84,31
Jaffna,2020,9,September,555.63,488.06,87.84,30
Jaffna,2020,10,October,653.82,653.82,100.0,31
Jaffna,2020,11,November,460.43,355.63,77.24,30
Jaffna,2020,12,December,408.64,191.48,46.86,31
Jaffna,2021,1,January,479.57,348.91,72.75,31
Jaffna,2021,2,February,580.41,580.41,100.0,28
Jaffna,2021,3,March,719.67,719.67,100.0,31
Jaffna,2021,4,April,692.84,692.84,100.0,30
Jaffna,2021,5,May,610.77,594.55,97.34,31
Jaffna,2021,6,June,632.89,619.46,97.88,30
Jaffna,2021,7,July,645.16,630.5,97.73,31
Jaffna,2021,8,August,651.18,623.96,95.82,31
Jaffna,2021,9,September,632.56,621.41,98.24,30
Jaffna,2021,10,October,526.19,467.59,88.86,31
Jaffna,2021,11,November,425.49,235.83,55.43,30
Jaffna,2021,12,December,553.16,477.67,86.35,31
Jaffna,2022,1,January,591.76,544.1,91.95,31
Jaffna,2022,2,February,586.78,562.59,95.88,28
Jaffna,2022,3,March,726.56,726.56,100.0,31
Jaffna,2022,4,April,648.74,637.2,98.22,30
Jaffna,2022,5,May,701.55,701.55,100.0,31
Jaffna,2022,6,June,641.86,622.22,96.94,30
Jaffna,2022,7,July,627.7,562.76,89.65,31
Jaffna,2022,8,August,650.46,614.62,94.49,31
Jaffna,2022,9,September,656.84,622.43,94.76,30
Jaffna,2022,10,October,583.25,493.3,84.58,31
Jaffna,2022,11,November,503.48,385.54,76.58,30
Jaffna,2022,12,December,490.89,418.17,85.19,31
Jaffna,2023,1,January,564.64,532.96,94.39,31
Jaffna,2023,2,February,601.87,584.54,97.12,28
Jaffna,2023,3,March,731.65,731.65,100.0,31
Jaffna,2023,4,April,716.01,716.01,100.0,30
Jaffna,2023,5,May,642.15,604.86,94.19,31
Jaffna,2023,6,June,639.87,624.61,97.62,30
Jaffna,2023,7,July,622.06,576.13,92.62,31
Jaffna,2023,8,August,741.75,741.75,100.0,31
Jaffna,2023,9,September,641.32,641.32,100.0,30
Jaffna,2023,10,October,635.5,620.96,97.71,31
Jaffna,2023,11,November,453.49,315.2,69.51,30
Jaffna,2023,12,December,450.12,295.86,65.73,31
Jaffna,2024,1,January,572.56,523.24,91.39,31
Jaffna,2024,2,February,640.01,640.01,100.0,29
Jaffna,2024,3,March,772.58,772.58,100.0,31
Jaffna,2024,4,April,714.51,700.42,98.03,30
Jaffna,2024,5,May,606.14,550.91,90.89,31
Jaffna,2024,6,June,151.47,136.78,90.3,8
Kalutara,2010,1,January,607.0,583.19,96.08,31
Kalutara,2010,2,February,553.52,523.23,94.53,28
Kalutara,2010,3,March,679.66,679.66,100.0,31
Kalutara,2010,4,April,555.93,527.69,94.92,30
Kalutara,2010,5,May,462.81,286.95,62.0,31
Kalutara,2010,6,June,472.14,350.93,74.33,30
Kalutara,2010,7,July,510.87,410.19,80.29,31
Kalutara,2010,8,August,500.46,367.07,73.35,31
Kalutara,2010,9,September,472.94,299.67,63.36,30
Kalutara,2010,10,October,513.17,415.58,80.98,31
Kalutara,2010,11,November,441.54,301.21,68.22,30
Kalutara,2010,12,December,388.04,201.14,51.83,31
Kalutara,2011,1,January,441.01,273.83,62.09,31
Kalutara,2011,2,February,473.09,382.93,80.94,28
Kalutara,2011,3,March,658.21,658.21,100.0,31
Kalutara,2011,4,April,558.53,488.39,87.44,30
Kalutara,2011,5,May,549.48,493.34,89.78,31
Kalutara,2011,6,June,531.1,462.85,87.15,30
Kalutara,2011,7,July,515.07,420.18,81.58,31
Kalutara,2011,8,August,531.48,441.04,82.98,31
Kalutara,2011,9,September,536.32,462.24,86.19,30
Kalutara,2011,10,October,537.5,466.11,86.72,31
Kalutara,2011,11,November,484.56,348.52,71.93,30
Kalutara,2011,12,December,500.48,401.02,80.13,31
Kalutara,2012,1,January,621.46,607.47,97.75,31
Kalutara,2012,2,February,557.64,518.96,93.06,29
Kalutara,2012,3,March,682.88,682.88,100.0,31
Kalutara,2012,4,April,554.81,527.73,95.12,30
Kalutara,2012,5,May,574.42,520.62,90.63,31
Kalutara,2012,6,June,480.79,364.16,75.74,30
Kalutara,2012,7,July,544.5,451.4,82.9,31
Kalutara,2012,8,August,530.65,465.65,87.75,31
Kalutara,2012,9,September,507.75,406.07,79.97,30
Kalutara,2012,10,October,496.35,388.2,78.21,31
Kalutara,2012,11,November,496.86,357.46,71.94,30
Kalutara,2012,12,December,478.22,301.17,62.98,31
Kalutara,2013,1,January,549.41,467.27,85.05,31
Kalutara,2013,2,February,554.52,519.74,93.73,28
Kalutara,2013,3,March,621.83,617.97,99.38,31
Kalutara,2013,4,April,619.8,606.42,97.84,30
Kalutara,2013,5,May,473.53,340.58,71.92,31
Kalutara,2013,6,June,437.15,232.42,53.17,30
Kalutara,2013,7,July,518.88,396.54,76.42,31
Kalutara,2013,8,August,590.67,581.66,98.47,31
Kalutara,2013,9,September,484.95,351.34,72.45,30
Kalutara,2013,10,October,519.26,411.56,79.26,31
Kalutara,2013,11,November,536.35,506.82,94.49,30
