district,year,month,total_radiation,radiation_above_threshold,percentage_above_threshold,record_count
Bandarawela,2013,11,508.1399999999999,448.36,88.23552564253949,30
Bandarawela,2013,12,400.86,190.51999999999998,47.527815197325744,31
Bandarawela,2014,1,488.6399999999999,366.01,74.90381466928619,31
Bandarawela,2014,2,600.9099999999999,600.9099999999999,100.0,28
Bandarawela,2014,3,697.8000000000001,683.9700000000001,98.01805674978506,31
Bandarawela,2014,4,639.8199999999999,611.42,95.56125160201306,30
Bandarawela,2014,5,595.8499999999999,562.78,94.44994545607118,31
Bandarawela,2014,6,596.1800000000001,582.72,97.74229259619578,30
Bandarawela,2014,7,618.63,607.3,98.16853369542375,31
Bandarawela,2014,8,584.18,544.0799999999999,93.13567735971789,31
Bandarawela,2014,9,597.55,597.55,100.0,30
Bandarawela,2014,10,510.53000000000003,429.54999999999995,84.13805261199144,31
Bandarawela,2014,11,428.00000000000006,263.01,61.45093457943924,30
Bandarawela,2014,12,358.91999999999996,184.62,51.43764627214979,31
Bandarawela,2015,1,560.33,520.5600000000001,92.9023968018846,31
Bandarawela,2015,2,523.0199999999999,470.42999999999995,89.94493518412298,28
Bandarawela,2015,3,707.5500000000001,682.42,96.44830754010316,31
Bandarawela,2015,4,604.76,577.56,95.50234803889145,30
Bandarawela,2015,5,599.71,559.47,93.29009021026829,31
Bandarawela,2015,6,590.1200000000001,548.6600000000001,92.9743103097675,30
Bandarawela,2015,7,617.2200000000001,594.99,96.39836687080779,31
Bandarawela,2015,8,629.8,601.3899999999999,95.48904414099712,31
Bandarawela,2015,9,536.3799999999999,475.96,88.73559789701334,30
Bandarawela,2015,10,493.40999999999997,399.02000000000004,80.86986481830529,31
Bandarawela,2015,11,428.68,265.87,62.02062144256788,30
Bandarawela,2015,12,453.54000000000013,234.71,51.750672487542424,31
Bandarawela,2016,1,558.8000000000001,490.70999999999987,87.81496062992122,31
Bandarawela,2016,2,578.0699999999999,555.59,96.1111976058263,29
Bandarawela,2016,3,728.54,728.54,100.0,31
Bandarawela,2016,4,671.0699999999999,671.0699999999999,100.0,30
Bandarawela,2016,5,507.8,373.78,73.60771957463568,31
Bandarawela,2016,6,573.3700000000001,573.3700000000001,100.0,30
Bandarawela,2016,7,599.09,543.0400000000001,90.64414361782038,31
Bandarawela,2016,8,646.44,633.8900000000001,98.05859785904339,31
Bandarawela,2016,9,639.59,624.83,97.69227161150113,30
Bandarawela,2016,10,634.12,619.64,97.71652053239134,31
Bandarawela,2016,11,439.07000000000005,260.95,59.43243674129409,30
Bandarawela,2016,12,545.4700000000001,497.98999999999995,91.29557995856781,31
Bandarawela,2017,1,594.5400000000001,500.7900000000001,84.23150671107075,31
Bandarawela,2017,2,574.5999999999999,520.4,90.56735120083538,28
Bandarawela,2017,3,677.9000000000001,655.1600000000001,96.64552293848651,31
Bandarawela,2017,4,717.4700000000001,717.4700000000001,100.0,30
Bandarawela,2017,5,624.35,555.72,89.00776807880194,31
Bandarawela,2017,6,584.2800000000002,523.5200000000001,89.60087629218866,30
Bandarawela,2017,7,616.33,592.35,96.10922719971443,31
Bandarawela,2017,8,583.6299999999999,529.7900000000001,90.77497729726028,31
Bandarawela,2017,9,549.4399999999998,483.2299999999999,87.94954863133373,30
Bandarawela,2017,10,512.2800000000001,411.94,80.4130553603498,31
Bandarawela,2017,11,420.53000000000003,245.64000000000001,58.412003899840684,30
Bandarawela,2017,12,507.00999999999993,404.16999999999996,79.7163764028323,31
Bandarawela,2018,1,596.59,562.9699999999999,94.36463903183089,31
Bandarawela,2018,2,573.3099999999997,531.3599999999999,92.68284174355936,28
Bandarawela,2018,3,632.3599999999999,575.82,91.05889050540833,31
Bandarawela,2018,4,615.5300000000001,601.8100000000001,97.77102659496694,30
Bandarawela,2018,5,518.16,397.0799999999999,76.63270032422417,31
Bandarawela,2018,6,620.08,620.08,100.0,30
Bandarawela,2018,7,634.6799999999998,620.1499999999999,97.71065733913153,31
